date,daily_cases,med_temp,med_hum,pm25,o3,no2,retail,grocery,parks,transit,work,home,rt,region
2020-02-24,0,9.2,93.88841179,124,32,12,-9,16,17,-19,-18,5,1.841900341,Piemonte
2020-02-25,0,9,93.52980581,80,19,14,-13,-2,2,-24,-17,6,1.811498723,Piemonte
2020-02-26,0,7.5,18.70248307,157,33,12,-14,-9,5,-27,-16,6,1.780209727,Piemonte
2020-02-27,0,6.85,61.82869637,65,27,17,-10,-7,15,-26,-15,6,1.741105021,Piemonte
2020-02-28,0,8.475,11.96583037,42,36,22,-9,-7,19,-20,-14,6,1.699072297,Piemonte
2020-02-29,0,7,79.98218505,53,19,22,-18,-6,-1,-15,-9,5,1.654850644,Piemonte
2020-03-01,0,NaN,NaN,82,NaN,NaN,-17,-7,-1,-25,-6,5,1.606519019,Piemonte
2020-03-02,0,7.25,96.25707234,NaN,NaN,NaN,-18,-10,-37,-32,-13,7,1.556558615,Piemonte
2020-03-03,1,7.7,53.51231707,NaN,28,19,-6,-1,20,-22,-11,4,1.504439626,Piemonte
2020-03-04,15,8,27.22160456,NaN,34,16,-12,-1,25,-23,-12,5,1.454970849,Piemonte
2020-03-05,6,4,100,NaN,26,20,-23,-7,-27,-36,-15,9,1.400511796,Piemonte
2020-03-06,10,7.7,80.33691592,NaN,28,21,-19,-7,-4,-29,-16,9,1.346250057,Piemonte
2020-03-07,8,8.5,25.10231893,157,33,12,-27,-9,31,-18,-10,6,1.294989495,Piemonte
2020-03-08,20,NaN,NaN,172,37,13,-52,-17,11,-40,-13,9,1.244618069,Piemonte
2020-03-09,3,5.55,93.33584657,NaN,37,13,-44,-15,-34,-55,-27,15,1.195932157,Piemonte
2020-03-10,2,8.6,62.30610241,59,34,19,-47,-19,-28,-54,-29,16,1.149961522,Piemonte
2020-03-11,40,10,89.1836294,65,36,11,-51,-21,-23,-56,-33,17,1.107472453,Piemonte
2020-03-12,27,9,99.50105597,50,32,9,-67,-28,-46,-65,-41,22,1.067161794,Piemonte
2020-03-13,4,9,100,53,32,18,-72,-32,-57,-67,-47,26,1.029383193,Piemonte
2020-03-14,46,8.9,93.43425776,38,40,6,-84,-50,-67,-76,-52,25,0.993021095,Piemonte
2020-03-15,25,NaN,NaN,70,23,6,-89,-68,-60,-79,-46,20,0.961336778,Piemonte
2020-03-16,66,10,40.27469147,53,33,7,-72,-39,-50,-71,-53,26,0.933171116,Piemonte
2020-03-17,50,10.7,47.64554783,78,36,11,-74,-42,-57,-71,-56,27,0.90982221,Piemonte
2020-03-18,51,12.1,48.81252061,76,38,11,-76,-45,-51,-74,-57,28,0.884516462,Piemonte
2020-03-19,0,13.5,37.04666642,114,43,15,-76,-44,-51,-74,-58,29,0.865127701,Piemonte
2020-03-20,221,12.5,66.98043201,132,45,15,-76,-41,-70,-74,-59,31,0.847702603,Piemonte
2020-03-21,59,11.5,56.86866336,97,34,11,-86,-56,-73,-80,-57,26,0.829984329,Piemonte
2020-03-22,106,NaN,NaN,74,41,7,-93,-82,-80,-86,-55,23,0.814502649,Piemonte
2020-03-23,57,4.85,30.17507793,89,29,5,-78,-48,-70,-78,-63,31,0.800887923,Piemonte
2020-03-24,129,5.2,27.29757216,50,31,9,-79,-49,-73,-78,-64,31,0.78950667,Piemonte
2020-03-25,0,4,37.52616022,61,35,10,-80,-52,-71,-79,-66,32,0.777517019,Piemonte
2020-03-26,34,2,57.30675051,59,32,5,-82,-52,-73,-80,-67,34,0.767143045,Piemonte
2020-03-27,126,6,66.62997572,55,26,5,-81,-48,-78,-80,-66,36,0.757470215,Piemonte
2020-03-28,91,11.5,56.24594114,80,27,8,-87,-59,-76,-82,-60,27,0.75037391,Piemonte
2020-03-29,58,NaN,NaN,112,37,8,-93,-84,-77,-85,-54,22,0.741920116,Piemonte
2020-03-30,25,9,78.12792406,109,39,5,-80,-50,-72,-78,-64,32,0.734958835,Piemonte
2020-03-31,37,6.1,49.30659044,80,35,10,-91,-49,-74,-77,-65,32,0.728687144,Piemonte
2020-04-01,61,5.6,34.9617706,38,31,6,-91,-48,-63,-77,-65,32,0.721540416,Piemonte
2020-04-02,50,7,43.46177311,61,37,8,-90,-47,-62,-76,-65,32,0.714917414,Piemonte
2020-04-03,63,10.8,34.48145834,78,41,8,-84,-45,-73,-77,-64,34,0.709789124,Piemonte
2020-04-04,100,13.7,24.66659128,91,45,11,-90,-57,-74,-81,-57,27,0.70414069,Piemonte
2020-04-05,172,NaN,NaN,91,47,7,-95,-82,-78,-86,-55,23,0.700405519,Piemonte
2020-04-06,141,15,32.38395209,78,46,11,-82,-45,-64,-76,-61,30,0.696573802,Piemonte
2020-04-07,42,17,24.5516207,87,53,11,-80,-44,-69,-76,-62,30,0.692757698,Piemonte
2020-04-08,70,16.6,27.16799942,91,46,11,-80,-44,-62,-77,-62,30,0.689423106,Piemonte
2020-04-09,65,15.1,20.4677371,78,51,8,-79,-39,-61,-76,-61,30,0.686850602,Piemonte
2020-04-10,38,16.45,29.25887786,72,53,11,-79,-35,-69,-76,-63,32,0.685024476,Piemonte
2020-04-11,72,16.2,32.2542693,74,49,7,-86,-51,-73,-79,-57,26,0.682500109,Piemonte
2020-04-12,57,NaN,NaN,63,42,4,-96,-93,-81,-86,-57,23,0.681427909,Piemonte
2020-04-13,67,NaN,NaN,53,50,NaN,-96,-95,-73,-91,-89,41,0.680720282,Piemonte
2020-04-14,52,15.05,52.8744333,59,41,4,-78,-43,-71,-75,-60,28,0.679420418,Piemonte
2020-04-15,40,12,48.82081449,61,37,6,-78,-43,-61,-76,-59,29,0.680006783,Piemonte
2020-04-16,173,13.1,50.48009716,50,45,13,-76,-41,-62,-74,-59,29,0.680577041,Piemonte
2020-04-17,116,13.2,76.27642832,59,41,15,-77,-40,-71,-75,-59,31,0.680787536,Piemonte
2020-04-18,56,13,93.71279798,53,43,10,-85,-53,-71,-79,-53,25,0.681208787,Piemonte
2020-04-19,31,NaN,NaN,57,35,4,-94,-82,-79,-85,-50,22,0.683651377,Piemonte
2020-04-20,32,13,96.36441533,61,33,6,-77,-48,-73,-77,-58,29,0.685918622,Piemonte
2020-04-21,84,9,87.38422578,61,29,6,-78,-48,-76,-77,-58,29,0.689072548,Piemonte
2020-04-22,109,14,27.79777925,59,45,7,-75,-43,-60,-74,-55,28,0.69274987,Piemonte
2020-04-23,26,16,35.28939186,68,48,15,-75,-39,-59,-72,-56,28,0.698239699,Piemonte
2020-04-24,80,15,41.69369384,72,54,17,-73,-30,-67,-73,-56,29,0.702816315,Piemonte
2020-04-25,66,NaN,NaN,72,42,5,-95,-95,-75,-87,-69,29,0.70743778,Piemonte
2020-04-26,8,NaN,NaN,50,41,4,-90,-68,-70,-83,-45,21,0.714853837,Piemonte
2020-04-27,83,12,82.22663623,30,33,9,-70,-36,-59,-73,-53,26,0.719258662,Piemonte
2020-04-28,47,12,93.66802689,30,31,10,-73,-42,-64,-73,-54,27,0.727112378,Piemonte
2020-04-29,28,13.3,74.64128948,38,38,6,-72,-37,-57,-70,-53,26,0.733926948,Piemonte
2020-04-30,71,13,87.7742301,25,34,10,-70,-25,-56,-70,-53,25,0.74197448,Piemonte
2020-05-01,74,NaN,NaN,34,30,6,-94,-94,-73,-89,-84,43,0.749272968,Piemonte
2020-05-02,68,16.95,56.72027858,46,38,6,-80,-43,-62,-74,-49,23,0.755634727,Piemonte
2020-05-03,25,NaN,NaN,34,41,6,-90,-73,-63,-81,-41,20,0.763135928,Piemonte
2020-05-04,9,17.15,33.68663864,34,45,9,-60,-29,-22,-60,-42,18,0.769619588,Piemonte
2020-05-05,13,12.85,93.7348693,53,32,13,-61,-29,-33,-60,-43,19,0.777660913,Piemonte
2020-05-06,16,18.05,71.93044505,34,40,8,-62,-31,-21,-62,-42,19,0.783613152,Piemonte
2020-05-07,32,17.65,48.91639619,50,48,9,-61,-29,-17,-60,-42,19,0.791621311,Piemonte
2020-05-08,58,18.95,38.84515804,61,53,11,-62,-28,-32,-60,-42,21,0.799930237,Piemonte
2020-05-09,11,16.7,62.61920874,55,44,10,-70,-37,-24,-61,-38,17,0.806665118,Piemonte
2020-05-10,7,NaN,NaN,38,45,2,-79,-61,-34,-64,-30,14,0.811886786,Piemonte
2020-05-11,2,12.575,93.66802689,42,29,6,-63,-37,-51,-66,-41,21,0.81934956,Piemonte
2020-05-12,12,14,91.35606894,30,32,6,-58,-28,-34,-56,-39,18,0.825389163,Piemonte
2020-05-13,11,15,82.39642194,34,15,12,-62,-32,-47,-63,-39,20,0.832551652,Piemonte
2020-05-14,14,16,82.51723858,55,39,6,-59,-28,-23,-58,-38,19,0.837606472,Piemonte
2020-05-15,10,13.2,93.2415574,76,35,6,-60,-27,-36,-58,-40,21,0.842634233,Piemonte
2020-05-16,10,16,87.05495531,38,36,3,-68,-35,-38,-62,-33,17,0.846369509,Piemonte
2020-05-17,7,NaN,NaN,55,39,5,-75,-55,-24,-63,-26,14,0.852117331,Piemonte
2020-05-18,4,20,71.73531985,59,38,5,-45,-21,-3,-48,-33,14,0.855214617,Piemonte
2020-05-19,7,17.2,82.63077002,55,33,4,-47,-21,-32,-52,-34,15,0.857297177,Piemonte
2020-05-20,6,22.5,40.21522433,59,49,5,-46,-19,6,-48,-33,14,0.863219108,Piemonte
2020-05-21,16,20.25,56.32953214,53,63,7,-45,-18,11,-45,-33,14,0.866684036,Piemonte
2020-05-22,6,20,49.82475828,65,57,6,-48,-16,-2,-45,-33,16,0.869937577,Piemonte
2020-05-23,10,17,82.68680562,61,44,10,-50,-22,8,-35,-23,11,0.876249124,Piemonte
2020-05-24,3,NaN,NaN,55,45,5,-53,-38,43,-31,-12,7,0.879332144,Piemonte
2020-05-25,7,20,56.09508186,53,53,8,-38,-20,11,-40,-32,12,0.881579703,Piemonte
2020-05-26,19,21,51.57129698,46,45,5,-37,-18,10,-41,-30,12,0.886531153,Piemonte
2020-05-27,7,19.15,44.74749022,42,49,7,-37,-16,15,-43,-30,12,0.889180877,Piemonte
2020-05-28,14,18.2,51.61132306,46,53,11,-37,-16,16,-42,-30,12,0.891203843,Piemonte
2020-05-29,8,17,71.84269592,42,46,5,-38,-14,5,-39,-31,13,0.894148458,Piemonte
2020-05-30,19,17.35,45.55592014,38,50,6,-42,-18,38,-22,-18,7,0.896367566,Piemonte
2020-05-31,3,NaN,NaN,42,50,5,-45,-31,46,-22,-8,6,0.899155468,Piemonte
2020-06-01,2,19,69.37902662,70,57,6,-24,1,47,-27,-43,12,0.902133425,Piemonte
2020-06-02,17,NaN,NaN,61,45,8,-44,-39,90,-43,-71,20,0.903244978,Piemonte
2020-06-03,0,16.35,88.02103101,50,42,6,-31,-8,7,-29,-28,10,0.904226954,Piemonte
2020-06-04,1,13.15,91.49113723,34,37,7,-35,-10,-28,-38,-31,13,0.901646274,Piemonte
2020-06-05,17,18.15,64.22351528,34,47,5,-26,-8,24,-22,-28,9,0.900458169,Piemonte
2020-06-06,3,18,80.07146742,25,48,8,-30,-14,69,1,-16,4,0.899551888,Piemonte
2020-06-07,1,NaN,NaN,53,35,5,-38,-25,17,-7,-8,7,0.898223776,Piemonte
2020-06-08,2,17.1,84.25746164,34,27,3,-29,-14,-13,-29,-28,11,0.895937881,Piemonte
2020-06-09,2,15,82.34394899,38,37,4,-28,-13,-1,-32,-27,10,0.895898048,Piemonte
2020-06-10,7,14,87.10916818,30,35,7,-26,-12,19,-31,-26,9,0.894502,Piemonte
2020-06-11,5,15,85.17104767,25,37,6,-22,-9,13,-29,-27,9,0.8954575,Piemonte
2020-06-12,5,18,69.87823494,53,47,6,-21,-10,24,-24,-27,9,0.895435564,Piemonte
2020-06-13,17,17.55,81.27501425,30,46,6,-30,-15,4,-16,-14,7,0.895467553,Piemonte
2020-06-14,6,NaN,NaN,30,49,7,-19,-23,101,18,2,1,0.895363474,Piemonte
2020-06-15,1,19.8,77.80790411,21,48,8,-18,-12,35,-22,-25,7,0.893678046,Piemonte
2020-06-16,8,20.35,76.33926555,55,44,5,-17,-10,29,-28,-24,7,0.893505924,Piemonte
2020-06-17,15,18,88.18011032,42,46,3,-21,-12,9,-33,-25,9,0.894584836,Piemonte
2020-06-18,5,17,86.96000194,46,37,6,-16,-9,42,-26,-25,7,0.895704757,Piemonte
2020-06-19,2,18,81.28166388,21,43,6,-15,-6,49,-17,-25,6,0.897418286,Piemonte
2020-06-20,5,21,69.04931276,34,55,6,-21,-12,78,-3,-10,1,0.898869299,Piemonte
2020-06-21,12,NaN,NaN,34,49,9,-21,-24,77,1,2,-1,0.899165836,Piemonte
2020-06-22,0,25,40.19895133,50,58,12,-16,-11,31,-21,-26,5,0.90097683,Piemonte
2020-06-23,0,24.7,38.33744999,38,79,11,-15,-10,42,-23,-25,5,0.903706249,Piemonte
2020-06-24,3,NaN,NaN,55,94,11,-10,-5,59,-23,-25,5,0.904908752,Piemonte
2020-06-25,2,22,66.27694743,57,70,11,-14,-6,44,-22,-24,5,0.907074701,Piemonte
2020-06-26,0,23,61.5918019,50,69,8,-15,-7,42,-18,-25,5,0.910010348,Piemonte
2020-06-27,0,23.7,44.0875752,61,57,11,-22,-13,71,-1,-10,0,0.913214193,Piemonte
2020-06-28,0,NaN,NaN,53,55,9,-19,-23,84,6,4,-2,0.915353425,Piemonte
2020-06-29,0,23,84.62824009,55,44,6,-13,-8,33,-19,-24,5,0.918782594,Piemonte
2020-06-30,0,22.05,80.72945246,59,54,9,-12,-7,40,-24,-23,4,0.920886528,Piemonte
2020-07-01,3,21,83.06989225,68,48,7,-10,-3,35,-26,-22,4,0.924053756,Piemonte
2020-07-02,0,22.85,75.9916464,61,57,12,-13,-8,38,-21,-23,4,0.925617173,Piemonte
2020-07-03,0,22.9,69.83817364,55,57,9,-19,-9,15,-23,-24,7,0.926777319,Piemonte
2020-07-04,0,22.25,60.55128899,59,44,11,-18,-11,73,-7,-9,0,0.930210699,Piemonte
2020-07-05,3,NaN,NaN,30,56,12,-19,-23,96,-2,1,-3,0.931761309,Piemonte
2020-07-06,1,25,61.66184098,46,69,10,-13,-8,27,-20,-24,4,0.937504453,Piemonte
2020-07-07,1,23.8,39.07651102,55,46,4,-11,-6,41,-24,-23,4,0.939906668,Piemonte
2020-07-08,3,24,49.54799242,55,57,10,-12,-9,50,-27,-23,3,0.941255715,Piemonte
2020-07-09,3,25,54.02590358,46,82,12,-12,-9,48,-22,-23,3,0.943867653,Piemonte
2020-07-10,2,23.675,62.47667001,63,84,14,-14,-9,43,-17,-24,3,0.94658284,Piemonte
2020-07-11,2,21,83.44177953,61,51,7,-19,-11,78,-10,-10,0,0.949073663,Piemonte
2020-07-12,0,NaN,NaN,57,45,5,-17,-20,109,3,2,-3,0.950633653,Piemonte
2020-07-13,0,22.8,51.36906532,63,48,8,-11,-7,55,-15,-25,3,0.952696014,Piemonte
2020-07-14,0,22,59.40622472,53,54,11,-10,-8,65,-24,-24,3,0.955818146,Piemonte
2020-07-15,3,18.75,85.08310757,50,65,13,-10,-7,46,-24,-23,3,0.956237979,Piemonte
2020-07-16,0,22,78.21542815,57,61,14,-9,-8,52,-22,-24,3,0.956346145,Piemonte
2020-07-17,0,22.5,73.58714894,55,62,10,-12,-9,52,-17,-24,3,0.957896997,Piemonte
2020-07-18,0,21,78.08180376,68,48,7,-17,-12,71,-5,-10,-1,0.95826871,Piemonte
2020-07-19,0,NaN,NaN,34,70,9,-19,-22,75,-1,5,-4,0.960720901,Piemonte
2020-07-20,0,22.5,79.61071398,38,55,11,-12,-10,34,-15,-24,3,0.962217901,Piemonte
2020-07-21,1,23,80.10158362,50,56,11,-11,-10,45,-21,-23,3,0.964584159,Piemonte
2020-07-22,7,23.85,80.45395049,63,66,10,-14,-10,32,-26,-24,4,0.966855671,Piemonte
2020-07-23,0,23.95,74.53005157,63,63,8,-10,-8,65,-18,-24,2,0.968265452,Piemonte
2020-07-24,2,20,82.46726615,61,44,12,-11,-7,30,-18,-25,4,0.967417263,Piemonte
2020-07-25,0,22.7,75.43465085,42,49,10,-17,-13,75,-1,-10,-2,0.969893632,Piemonte
2020-07-26,2,NaN,NaN,34,55,7,-13,-19,89,2,3,-4,0.972039656,Piemonte
2020-07-27,1,25,71.90242526,42,68,6,-9,-7,58,-13,-25,2,0.970855518,Piemonte
2020-07-28,2,24.3,75.59814698,59,71,9,-10,-7,44,-20,-24,3,0.971780609,Piemonte
2020-07-29,0,24.15,76.04441176,70,63,15,-10,-7,45,-23,-24,2,0.974488638,Piemonte
2020-07-30,5,26.7,66.32490297,63,76,12,-9,-9,49,-22,-25,2,0.974808636,Piemonte
2020-07-31,1,27,76.71343247,74,56,5,-10,-9,39,-18,-26,3,0.974499533,Piemonte
2020-08-01,1,27,75.65276067,70,NaN,NaN,-20,-15,36,-10,-13,-1,0.975918935,Piemonte